record_id,event_present,t0_sample,amplitude_A
0,0,-1,0.0
1,1,176,1.7380932305540064
2,1,84,2.3307917420695086
3,1,103,3.367967727905542
4,1,160,3.4611848970590366
5,1,75,3.486074892687091
6,0,-1,0.0
7,1,86,2.5931274645115328
8,0,-1,0.0
9,1,45,1.0526277766639913
10,1,167,3.0879216124479223
11,1,68,3.4357604567631834
12,1,161,1.7430335037676228
13,0,-1,0.0
14,1,82,2.12075222781811
15,0,-1,0.0
16,0,-1,0.0
17,0,-1,0.0
18,1,125,1.8988051938470962
19,1,175,2.854515568191123
20,0,-1,0.0
21,0,-1,0.0
22,1,150,1.2822427063047925
23,0,-1,0.0
24,0,-1,0.0
25,1,139,1.5575492033911307
26,1,47,2.37475823656727
27,0,-1,0.0
28,1,69,1.5625603006838975
29,1,108,1.1917785104077243
30,0,-1,0.0
31,1,46,2.0873998189422074
32,0,-1,0.0
33,1,46,1.9113385393149094
34,1,26,3.4996065668797764
35,1,93,1.3492050629348356
36,1,115,3.1192227670065407
37,1,60,1.7900804048343244
38,1,135,3.3322563313221782
39,0,-1,0.0
40,0,-1,0.0
41,0,-1,0.0
42,0,-1,0.0
43,0,-1,0.0
44,0,-1,0.0
45,1,122,3.245360779739145
46,0,-1,0.0
47,0,-1,0.0
48,0,-1,0.0
49,1,69,2.0552681203726437
50,0,-1,0.0
51,1,112,1.6298431429886988
52,1,49,1.9093293895384642
53,1,86,2.070872952882694
54,0,-1,0.0
55,1,82,1.0768991522852394
56,0,-1,0.0
57,1,100,3.3178708810833664
58,0,-1,0.0
59,0,-1,0.0
60,1,118,3.2727417603857205
61,1,109,2.050105860099468
62,0,-1,0.0
63,1,143,2.8521726584685894
64,0,-1,0.0
65,0,-1,0.0
66,1,171,2.7530038647263817
67,1,118,2.368829923664461
68,0,-1,0.0
69,0,-1,0.0
70,0,-1,0.0
71,0,-1,0.0
72,1,164,1.66094081123678
73,0,-1,0.0
74,1,83,1.684363525007769
75,0,-1,0.0
76,0,-1,0.0
77,1,170,1.86383601898654
78,0,-1,0.0
79,0,-1,0.0
80,1,124,2.1456517807907156
81,0,-1,0.0
82,1,43,2.4609581400594336
83,0,-1,0.0
84,1,135,1.0062174969743454
85,1,111,2.162553288682025
86,0,-1,0.0
87,1,110,1.0054927617857723
88,0,-1,0.0
89,0,-1,0.0
90,1,82,0.9750047422745369
91,1,120,2.5444477139352575
92,1,129,2.2452305745719237
93,0,-1,0.0
94,0,-1,0.0
95,0,-1,0.0
96,1,27,2.15541766913417
97,0,-1,0.0
98,0,-1,0.0
99,1,77,1.876034657110036
100,1,172,3.175591232662255
101,1,116,2.302682049602337
102,0,-1,0.0
103,0,-1,0.0
104,1,124,2.3023854753208797
105,1,74,3.14814292248469
106,1,48,1.741855426242148
107,0,-1,0.0
108,0,-1,0.0
109,1,137,2.8089867203986394
110,1,25,3.145837543090054
111,1,136,1.6119131314382582
112,0,-1,0.0
113,1,124,3.3189326042031344
114,1,55,2.653880955725526
115,1,28,0.9695593617445659
116,0,-1,0.0
117,0,-1,0.0
118,0,-1,0.0
119,1,152,3.0425031394391477
120,0,-1,0.0
121,1,149,3.3285667860808226
122,0,-1,0.0
123,0,-1,0.0
124,0,-1,0.0
125,1,34,2.8980702322026484
126,1,145,1.1159499552966077
127,0,-1,0.0
128,1,137,0.9202072493980666
129,1,81,3.042463497122733
130,0,-1,0.0
131,1,72,2.272486134012384
132,1,154,2.174027042262995
133,1,42,3.4786179233059653
134,0,-1,0.0
135,0,-1,0.0
136,0,-1,0.0
137,0,-1,0.0
138,0,-1,0.0
139,1,153,1.9376592449391148
140,1,112,2.198151180108
141,0,-1,0.0
142,1,105,2.687336632471042
143,1,98,1.8014503918638902
144,0,-1,0.0
145,0,-1,0.0
146,0,-1,0.0
147,0,-1,0.0
148,0,-1,0.0
149,1,124,1.855311658974053
150,0,-1,0.0
151,1,89,2.612273325678111
152,1,74,0.9995282139973888
153,1,112,0.9622801328495438
154,0,-1,0.0
155,0,-1,0.0
156,0,-1,0.0
157,1,86,3.4050672614853092
158,1,134,1.096479466226939
159,1,96,3.206222345097004
160,0,-1,0.0
161,0,-1,0.0
162,0,-1,0.0
163,0,-1,0.0
164,1,160,3.1318995835975874
165,1,72,3.221659514565841
166,0,-1,0.0
167,0,-1,0.0
168,0,-1,0.0
169,0,-1,0.0
170,1,142,2.1023774223839906
171,0,-1,0.0
172,1,39,1.0847508642984083
173,0,-1,0.0
174,0,-1,0.0
175,0,-1,0.0
176,1,32,1.863897232978557
177,0,-1,0.0
178,1,158,3.384155841340346
179,0,-1,0.0
180,1,147,1.6046054662713574
181,1,95,3.025577323873724
182,1,140,1.6685321459338172
183,1,88,3.341350151780436
184,1,68,1.9853917358572182
185,1,66,2.48101051607796
186,0,-1,0.0
187,0,-1,0.0
188,0,-1,0.0
189,0,-1,0.0
190,0,-1,0.0
191,1,170,2.7587293581464802
192,0,-1,0.0
193,1,172,2.191141533183731
194,0,-1,0.0
195,1,94,1.3710153714632103
196,1,101,2.7640825086530842
197,0,-1,0.0
198,1,31,1.1649967875613336
199,0,-1,0.0
200,1,156,1.7788529406620892
201,1,98,2.3230044827536847
202,1,104,2.424113439861434
203,1,97,1.3299418808579666
204,1,110,2.7242738657105647
205,1,137,3.4667514665457984
206,1,111,2.933631450019103
207,0,-1,0.0
208,1,37,1.507351997293143
209,1,127,1.9998237999447661
210,0,-1,0.0
211,0,-1,0.0
212,1,149,1.399833069222261
213,1,77,3.1023406017647317
214,1,108,1.5095235378828082
215,1,34,2.738577690772943
216,0,-1,0.0
217,0,-1,0.0
218,1,78,1.336466796712405
219,1,77,3.313337763577695
220,1,64,3.288729299531386
221,0,-1,0.0
222,1,165,2.392533844075687
223,0,-1,0.0
224,1,138,1.3550678265490679
225,1,108,1.8579922833432556
226,0,-1,0.0
227,0,-1,0.0
228,0,-1,0.0
229,1,107,0.9634122555136655
230,1,111,1.674627845455836
231,0,-1,0.0
232,0,-1,0.0
