record_id,n,t_s,y
0,0,0.0,-0.4272071339921474
0,1,0.001,0.24815859332775383
0,2,0.002,0.20557657162201745
0,3,0.003,-0.08756803143531927
0,4,0.004,0.5955771699967024
0,5,0.005,-0.16788323682394002
0,6,0.006,0.3437671786187511
0,7,0.007,0.009063022564025129
0,8,0.008,0.42153901651595826
0,9,0.009,0.2597507267613396
0,10,0.01,0.5401588418396189
0,11,0.011,-0.10964676875554426
0,12,0.012,-0.08316445224896182
0,13,0.013,0.11998049712656515
0,14,0.014,0.32748392338179566
0,15,0.015,-0.7544125503037072
0,16,0.016,-0.7858801401018336
0,17,0.017,-0.7806152317417199
0,18,0.018,-0.44067194821686323
0,19,0.019,-1.0923940455917438
0,20,0.02,-0.6928399866390123
0,21,0.021,-0.9297927701685044
0,22,0.022,0.5379725515501791
0,23,0.023,-0.5821515367117027
0,24,0.024,0.3082319080655007
0,25,0.025,0.6661898578925265
0,26,0.026,0.006619183531516283
0,27,0.027,0.2866255999851594
0,28,0.028,0.3171211104343984
0,29,0.029,0.47228078966925546
0,30,0.03,-0.015543134983631676
0,31,0.031,-0.2755231614520861
0,32,0.032,0.974962638885168
0,33,0.033,0.5695390887426941
0,34,0.034,0.6888053205099864
0,35,0.035,0.814967755267315
0,36,0.036,0.7055811677841131
0,37,0.037,0.49157444362330255
0,38,0.038,0.3243933245278463
0,39,0.039,1.1243427576899865
0,40,0.04,0.3218615222577811
0,41,0.041,1.1370169817604467
0,42,0.042,0.18247002441622778
0,43,0.043,0.14549689399364452
0,44,0.044,0.10808563116139946
0,45,0.045,-0.32890635072201446
0,46,0.046,0.17712930665007628
0,47,0.047,0.3522693790753073
0,48,0.048,0.02691872579555192
0,49,0.049,-0.044345471942254217
0,50,0.05,0.7284500789595139
0,51,0.051,0.23401897790879744
0,52,0.052,0.5842188704115509
0,53,0.053,0.23971729922127674
0,54,0.054,0.5380333366460422
0,55,0.055,0.9106367377429311
0,56,0.056,0.3270697907790494
0,57,0.057,1.3240430182229512
0,58,0.058,0.6425127823244021
0,59,0.059,0.047493000038882086
0,60,0.06,0.4442123623027537
0,61,0.061,0.44808460309712184
0,62,0.062,0.448901705561328
0,63,0.063,0.9403566122847059
0,64,0.064,-0.4366573238807693
0,65,0.065,0.021473791045724527
0,66,0.066,0.06568422777476246
0,67,0.067,-0.11282766752730675
0,68,0.068,0.2734409600022504
0,69,0.069,-0.3561040929501632
0,70,0.07,0.0708653947773636
0,71,0.071,-0.46101914271856403
0,72,0.072,-0.3277250541958122
0,73,0.073,-0.2825779400470797
0,74,0.074,0.7302911514443512
0,75,0.075,0.3113491364894543
