n,u,y
0,-1.1420923057255792,-0.14835167520914055
1,-1.0693365802085328,-0.1783097413605793
2,-0.7572575068057147,-0.4501653164733833
3,0.7686581312993666,-0.6140324823869153
4,-1.0379354649276662,-0.6913732408430356
5,-1.0260363353167576,-0.6223802837931429
6,-0.39261925899459704,-0.7410843277653462
7,1.3877289445272596,-0.6131307798285682
8,-0.9174509604357025,-0.45676070322065454
9,-0.6967310185745602,-0.373339684632193
10,0.19330890944750215,-0.36537264008538517
11,0.14465215661725417,-0.32548319247295404
12,0.3860937605817094,-0.216929734582851
13,-0.5705885430127494,-0.1284929555697648
14,-0.9355836339731415,-0.05717027514854704
15,-1.3355174585577776,-0.4136576338499178
16,0.3295198153048591,-0.5745424857292936
17,-0.2075412305914273,-0.5401311058680094
18,0.42677117201679815,-0.6101309806251011
19,0.045009659429134034,-0.2989958640594795
20,1.3904740628569348,-0.20380924985918042
21,0.5831599838012852,0.14524870170217075
22,0.16520463247132255,0.42546835312540393
23,0.04400741512350645,0.45910053065315914
24,-0.510193727282879,0.4538279998711197
25,-0.3873323850585959,0.25229474605363333
26,-0.3200181709340063,0.2489544690380051
27,1.5219252066516322,0.09417369753448132
28,-0.18918018350193444,0.12871654281577188
29,-0.5966429337877645,0.18682075538448584
30,0.24150018409746557,0.1288460488440757
31,0.7222547619794684,0.05827079235985209
32,-1.128183892606301,0.08941834560549476
33,-2.3312010894733897,-0.03079069787862125
34,-0.2706349144982353,-0.5446491659933062
35,1.0249431913515943,-0.6406061805375303
36,-0.6921020452822316,-0.6564188575667921
37,0.6293933182891921,-0.4276490725304765
38,0.3285836935669704,-0.26012034403623496
39,0.6907341715686957,-0.15368663361746865
40,-0.6392098980709896,0.07966604146828046
41,-0.3518128643664158,0.1784168367189251
42,1.6082942309374086,0.13461303779328654
43,0.6905724372595266,0.2649823296159079
44,-2.5029598878835357,0.30532862584605136
45,1.2589998726025857,0.08610299871008188
46,2.0117477057445443,0.19005620568425452
47,-0.26759037990310236,0.37297276849084926
48,0.8185512190512149,0.5441141697189505
49,-0.8519633155676554,0.5537229940587517
50,0.051258364456443335,0.5165554306325625
51,0.0853444114273717,0.31815547605918915
52,-0.6247735350993604,0.1621518927563447
53,0.9080076827737513,0.06554353481312089
54,0.5458733510685562,0.06270043603331873
55,0.6410400292945015,0.17058438066453302
56,0.9036289406778856,0.4037322444081516
57,-2.1773200362886422,0.4437462638124352
58,0.34777066371313936,0.19310460813217983
59,-1.5982220889858958,-0.04129889173819842
60,-0.4201664998820397,-0.2796049386733151
61,-0.040989828005249,-0.5540312011792675
62,-1.090400485710583,-0.5630361598226191
63,0.11723562797705107,-0.6999395526022646
64,-1.3500633107529583,-0.7666674988969004
65,-0.4633034678977371,-0.7741996149206917
66,0.8651635968557672,-0.7599789276024199
67,-0.9928699615731963,-0.627154520650729
68,0.16588410429595435,-0.5183083554979683
69,-1.5434307432103822,-0.48183386062237465
70,0.28310352953674894,-0.5761424838491498
71,-1.7543475845055865,-0.6063705560475587
72,-1.0124184980710504,-0.7679249632550086
73,-1.7101570871148135,-1.0767506059782974
74,0.22718544406262772,-1.2080047755295134
75,-1.0233641855294402,-1.199360955256023
76,-0.5649451643188103,-1.0593256893647616
77,0.23687042170136294,-1.0672599771134963
78,0.897580080900171,-0.7471411913762924
79,0.5619878019255748,-0.4013614755480759
80,-0.2399712494390975,-0.07972086637875311
81,1.4490165215856017,0.1854432899939601
82,0.8638842290315615,0.34400648657609884
83,-0.16542452897234552,0.5679361982314468
84,1.8804478084841285,0.7301367521542489
85,-0.9590352290746812,0.792682440454628
86,-0.13705138924332552,0.6659019537796935
87,1.2976825177768552,0.5551082786830288
88,0.7221212847068629,0.6272389944944466
89,0.4904749946465245,0.6016372433625418
90,-0.324437672479234,0.6327089486963278
